userId,movieId,rating,timestamp
481,986,3.0,895844838
481,1183,4.0,884773369
481,1407,2.0,884773369
481,1438,2.0,884774250
481,1465,4.0,884773704
481,1479,3.0,884774220
481,1483,1.0,884774250
481,1485,2.0,884773814
481,1584,3.0,884773369
481,1586,3.0,884773814
481,1588,1.0,884773814
481,1589,2.0,884773750
481,1597,3.0,884773814
481,1605,2.0,884773846
481,1608,4.0,884773846
481,1614,2.0,884773814
481,1615,3.0,884773750
481,1617,5.0,884773369
481,1620,3.0,884773671
481,1629,4.0,884773704
481,1653,3.0,884773369
481,1662,3.0,884773776
481,1665,2.0,884774296
481,1672,2.0,884773498
481,1676,3.0,884774220
481,1687,2.0,884773940
481,1690,2.0,884774296
481,1693,3.0,884773369
481,1711,2.0,884774320
481,1721,5.0,884773647
481,1729,4.0,884773369
482,2,4.5,1105395956
482,16,2.0,1105396054
482,50,4.0,1105396885
482,62,5.0,1105396550
482,151,1.0,1105396051
482,185,4.0,1105396893
482,303,3.0,1105396633
482,316,5.0,1105396880
482,329,4.5,1105396889
482,339,4.0,1105396565
482,442,4.0,1105395984
482,474,3.5,1105396882
482,491,2.0,1105396626
482,494,4.0,1105396007
482,592,4.0,1105396859
482,647,3.5,1105396636
482,648,4.0,1105396863
482,653,4.0,1105396004
482,708,3.5,1105395996
482,780,4.5,1105396861
482,786,4.0,1105395950
482,1036,5.0,1105396867
482,1037,3.5,1105396623
482,1042,4.0,1105396640
482,1101,4.5,1105396060
482,1198,4.0,1105396533
482,1200,4.5,1105396870
482,1220,3.0,1105396001
482,1230,3.0,1105396065
482,1246,3.5,1105396540
482,1270,5.0,1105396543
482,1288,3.5,1105396527
482,1307,4.0,1105395970
482,1359,3.5,1105396618
482,1374,5.0,1105396057
482,1517,4.0,1105396025
482,1527,5.0,1105396530
482,1556,3.0,1105396611
482,1573,4.0,1105396840
482,1584,3.0,1105395982
482,1602,1.0,1105396854
482,1610,4.0,1105395987
482,1784,3.0,1105395977
482,1923,4.0,1105395991
482,1961,3.0,1105395968
482,1968,4.0,1105396846
482,2006,4.0,1105396538
482,2068,0.5,1105396123
482,2124,4.0,1105396607
482,2170,3.5,1105396728
482,2174,4.0,1105396027
482,2353,4.0,1105396525
